DOMAIN,AGENCY,REG,CALLSIGN,TYPE,MODEL,HEX,COT,ICON,Domain,Agency,Type,Model
EMS,,N601MT,VALLEY AIR 1,HELICOPTER,,A7CC1B,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N602MT,VALLEY AIR 2,HELICOPTER,,A7CFD2,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N640EC,EAST CARE 1,HELICOPTER,,A865A2,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N810WF,AIR CARE 2,HELICOPTER,,AB0B56,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N816EC,EAST CARE 3,HELICOPTER,,AB200D,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N854EC,,HELICOPTER,,ABB69B,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N862NC,TAR HEEL 2,HELICOPTER,,ABD774,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N863NC,TAR HEEL 3,HELICOPTER,,ABDB2B,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N861NC,TAR HEEL 1NC,HELICOPTER,,ABDB3B,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N864NC,TAR HEEL 4,HELICOPTER,,ABDEE2,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N865NC,TAR HEEL 1,HELICOPTER,,ABE299,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N891T,AIRLINK 91T,HELICOPTER,,AC4AB4,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
